ticker,name,sector,industry,market_cap,price_as_of,is_price_fresh,shares_outstanding,beta,price,model_family,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,specialist_model_note
WRB,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,25348340930.0,2026-06-17,True,372277000.0,0.311,68.09,insurance,0.03483470380931433,0.04966050765445362,-0.05484244986172404,0.09486024979007412,0.0,0.12,0.0,0.05484244986172404,0.17484244986172404,0.05484244986172404,0.17484244986172404,51.357559009937425,86.76161399053936,107.12153235372573,51.357559009937425,107.12153235372573,False,,0.274219620950791,0.6,0.8,0.09285134982589907,0.5919387232185139,-0.07033949234554637,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
KEY,KeyCorp,Financial Services,Banks - Regional,24503598000.0,2026-06-17,True,1084230000.0,1.041,22.6,bank,-0.11047991435856924,-0.05820582784312267,-0.36715297094688193,0.0416449691988503,0.0,0.12,0.25,0.36715297094688193,0.4871529709468819,0.36715297094688193,0.4871529709468819,2.2940462384225335,16.74512649478713,27.714499667770188,2.2940462384225335,27.714499667770188,False,,-0.25906519934570227,0.6,0.8,0.2223989700728661,0.13699784466463633,-0.17820582784312267,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
RF,Regions Financial Corporation,Financial Services,Banks - Regional,24449337000.0,2026-06-17,True,853380000.0,1.027,28.65,bank,-0.017136989675881398,-0.0007100794488095197,-0.11411368989792492,0.04698589009201837,0.0,0.12,0.25,0.11411368989792492,0.23411368989792491,0.11411368989792492,0.23411368989792491,15.632001156167155,28.54842547339248,36.043650562910365,15.632001156167155,36.043650562910365,False,,-0.0035453586948522853,0.6,0.8,0.09854978999497163,0.5475608863520824,-0.12071007944880952,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
EQR,Equity Residential,Real Estate,REIT - Residential,24215051360.0,2026-06-17,True,374672000.0,0.764,64.63,reit,0.16803891621871814,0.17727860712634214,0.06295697957195401,0.25464147105023427,0.75,0.12,0.0,0.0,0.05704302042804599,0.0,0.05704302042804599,87.70262566794995,146.1606337847264,200.9242469008178,87.70262566794995,200.9242469008178,False,,1.2614982792004708,0.6,0.8,0.11384224573914012,0.6000427296800266,0.05727860712634214,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,22157192245.0,2026-06-17,True,205768873.00334322,0.535,107.68,insurance,0.0008368126177118185,0.021522905387739044,-0.11788330419843407,0.07818474389380325,0.0,0.12,0.25,0.11788330419843407,0.23788330419843406,0.11788330419843407,0.23788330419843406,57.512898712743116,119.77759611332411,156.8920575777561,57.512898712743116,156.8920575777561,False,,0.11234766078495628,0.6,0.8,0.11603402404611865,0.48016407557828217,-0.09847709461226095,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
BRO,"Brown & Brown, Inc.",Financial Services,Insurance - Brokers,20011489920.0,2026-06-17,True,338948000.0,0.624,59.04,insurance,0.08075083367285804,0.09931882176334272,-0.03262222932901693,0.15698792049376364,0.25,0.12,0.0,0.03262222932901693,0.15262222932901692,0.03262222932901693,0.15262222932901692,50.01806268428444,94.79046798463024,122.4025519634436,50.01806268428444,122.4025519634436,False,,0.6055296067857425,0.6,0.8,0.11280507491139027,0.5276697514817059,-0.02068117823665727,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,17633739760.0,2026-06-17,True,64262900.00000001,0.729,274.4,reit,-0.11295732850146839,-0.11990989799828311,-0.14063623221887633,-0.07137328579043101,0.0,0.12,1.0,0.14063623221887633,0.26063623221887633,0.14063623221887633,0.26063623221887633,128.608390381201,144.88378746072902,189.49160412255716,128.608390381201,189.49160412255716,False,,-0.4719978591081303,0.6,0.8,0.05263147321422266,0.8876658502322801,-0.2399098979982831,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,16924256580.0,2026-06-17,True,594042000.0,0.853,28.49,reit,0.13819364803604955,0.16942264606937685,0.044506653936067675,0.16942264606937685,0.75,0.12,0.0,0.0,0.07549334606393232,0.0,0.07549334606393232,35.419995692258155,62.30888045780007,62.30888045780007,35.419995692258155,62.30888045780007,False,,1.187043891112674,0.6,0.8,0.08045799606665457,0.5684582266928556,0.04942264606937685,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,16515811099.999998,2026-06-17,True,674390000.0,0.981,24.49,reit,0.012189942409219667,0.004970433645382855,-0.05468508079124623,0.09350398313735919,0.0,0.12,0.0,0.05468508079124623,0.17468508079124623,0.05468508079124623,0.17468508079124623,18.487208770764028,25.104710053415,38.29046422717415,18.487208770764028,38.29046422717415,False,,0.02510045134401806,0.6,0.8,0.0920945319643027,0.7364039947654846,-0.11502956635461714,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,15491980994.0,2026-06-17,True,116384801.99834722,0.744,133.11,reit,-0.09134571637215186,-0.10229694740601614,-0.10229694740601614,-0.058492023270559024,0.0,0.12,0.75,0.10229694740601614,0.22229694740601613,0.10229694740601614,0.22229694740601613,77.60222855261597,77.60222855261597,98.47606869698589,77.60222855261597,98.47606869698589,False,,-0.4170067721988133,0.6,0.8,0.03990246206772855,1.0,-0.22229694740601613,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
