scenario,probability,intrinsic_value_per_share,irr_5y,irr_3y,exit_value_per_share,total_return_5y,normalized_roe,terminal_growth,irr_5y_status,scenario_is_finite,ticker,model_family,price,affo_growth
bull,0.25,348.1231693993525,0.07822805474984995,,348.1231693993525,0.4573140045183879,0.11699408890717378,0.025,valid,True,MTB,bank,238.88,
bear,0.25,51.75035331172434,-0.15076713817621823,,51.75035331172434,-0.5582933312416837,,0.025,valid,True,IRM,reit,117.16,0.039999999999999994
base,0.5,75.7785447343414,-0.08345587163733248,,75.7785447343414,-0.3532046369550922,,0.025,valid,True,IRM,reit,117.16,0.06
bull,0.25,75.7785447343414,-0.08345587163733248,,75.7785447343414,-0.3532046369550922,,0.025,valid,True,IRM,reit,117.16,0.06
bear,0.25,50.88800634130139,-0.0785382052238428,,50.88800634130139,-0.33566571356003405,,0.025,valid,True,CCI,reit,76.6,-0.02
base,0.5,50.88800634130139,-0.0785382052238428,,50.88800634130139,-0.33566571356003405,,0.025,valid,True,CCI,reit,76.6,-0.02
bull,0.25,63.17822442488057,-0.03779473417676649,,63.17822442488057,-0.1752190022861544,,0.025,valid,True,CCI,reit,76.6,0.0
bear,0.25,14.20090809271465,-0.27517022651765677,,14.20090809271465,-0.799930852455415,0.041672179290308455,0.025,valid,True,CFG,bank,70.98,
base,0.5,37.96759984218915,-0.11762045939102661,,37.96759984218915,-0.4650943950100148,0.06957479955922027,0.025,valid,True,CFG,bank,70.98,
bull,0.25,52.84500378256598,-0.0572998250873491,,52.84500378256598,-0.25549445220391687,0.08704119989424904,0.025,valid,True,CFG,bank,70.98,
bear,0.25,54.120430004309334,0.1476418588844668,,54.120430004309334,0.9908195697741158,,0.025,valid,True,VICI,reit,27.185,0.039999999999999994
base,0.5,114.15715135935713,0.33240040838557716,,114.15715135935713,3.1992698679182316,,0.025,valid,True,VICI,reit,27.185,0.06
bull,0.25,114.15715135935713,0.33240040838557716,,114.15715135935713,3.1992698679182316,,0.025,valid,True,VICI,reit,27.185,0.06
bear,0.25,270.7664191993365,0.06899709552799305,,270.7664191993365,0.3959910249501779,,0.025,valid,True,AVB,reit,193.96,0.039999999999999994
base,0.5,502.64571682909525,0.20978992142684083,,502.64571682909525,1.5914916314141845,,0.025,valid,True,AVB,reit,193.96,0.06
bull,0.25,502.64571682909525,0.20978992142684083,,502.64571682909525,1.5914916314141845,,0.025,valid,True,AVB,reit,193.96,0.06
bear,0.25,51.357559009937425,-0.06555898128239068,,51.357559009937425,-0.28754166595078823,0.11987726800594227,0.025,valid,True,WRB,insurance,72.085,
base,0.5,86.76161399053936,0.03775908464866373,,86.76161399053936,0.20360149810001205,0.18528224592246914,0.025,valid,True,WRB,insurance,72.085,
bull,0.25,107.12153235372573,0.0824463360818275,,107.12153235372573,0.48604470213949824,0.2228948869506256,0.025,valid,True,WRB,insurance,72.085,
bear,0.25,87.70262566794995,0.04663224550873224,,87.70262566794995,0.25594480406630304,,0.025,valid,True,EQR,reit,69.83,0.031596614644469403
base,0.5,146.1606337847264,0.15919813863231447,,146.1606337847264,1.093092278171651,,0.025,valid,True,EQR,reit,69.83,0.05159661464446941
