ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
PWR,"Quanta Services, Inc.",NYSE,common_stock,False,1998-02-12,Industrials,Engineering & Construction,US,150060000.0,1.215,100286598600.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,668.31,2026-07-02,100286598599.99998,894905512.655625,True
WM,"Waste Management, Inc.",NYSE,common_stock,False,1988-06-22,Industrials,Waste Management,US,401576000.0,0.457,92523110400.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,230.4,2026-07-02,92523110400.0,492177694.75937504,True
MCK,McKesson Corporation,NYSE,common_stock,False,1994-11-10,Healthcare,Medical - Distribution,US,117078000.0,0.315,92058431400.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,786.3,2026-07-02,92058431400.0,894943150.161875,True
CMI,Cummins Inc.,NYSE,common_stock,False,1947-10-03,Industrials,Industrial - Machinery,US,137989067.00015113,1.24,91307365634.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,661.7,2026-07-02,91307365634.0,695203426.001875,True
HCA,"HCA Healthcare, Inc.",NYSE,common_stock,False,2011-03-10,Healthcare,Medical - Care Facilities,US,221839800.0,1.134,91065237900.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,410.5,2026-07-02,91065237900.0,642507500.7203125,True
ELV,Elevance Health Inc.,NYSE,common_stock,False,2001-10-30,Healthcare,Medical - Healthcare Plans,US,217162379.9995214,0.682,90749986978.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,417.89,2026-07-02,90749986978.0,626270073.916875,True
WMB,"The Williams Companies, Inc.",NYSE,common_stock,False,1981-12-31,Energy,Oil & Gas Midstream,US,1222998264.9986327,0.601,89450093102.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,73.14,2026-07-02,89450093102.0,489854679.0653125,True
FCX,Freeport-McMoRan Inc.,NYSE,common_stock,False,1995-07-10,Basic Materials,Copper,US,1437559864.9934382,1.359,87633649370.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,60.96,2026-07-02,87633649370.0,931810556.29375,True
SHW,The Sherwin-Williams Company,NYSE,common_stock,False,1980-03-17,Basic Materials,Chemicals - Specialty,US,246636000.0,1.126,86934257280.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,352.48,2026-07-02,86934257280.0,760479324.625625,True
ACN,Accenture plc,NYSE,common_stock,False,2001-07-19,Technology,Information Technology Services,US,611942108.9989079,1.069,84050248671.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,137.35,2026-07-02,84050248671.0,1139119129.1596875,True
MMM,3M Company,NYSE,common_stock,False,1946-01-14,Industrials,Conglomerates,US,521567261.00099725,1.095,83680251355.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,160.44,2026-07-02,83680251355.0,579519873.6703125,True
UPS,"United Parcel Service, Inc.",NYSE,common_stock,False,1999-11-10,Industrials,Integrated Freight & Logistics,US,746582000.0,1.037,82639161580.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,110.66,2026-07-02,82616764120.0,586384735.7140625,True
