ticker,name,sector,industry,final_bucket,decision_stage,decision_reason,rank,eligible,robust_return,expected_irr,median_irr,p10_irr,worst_case_hurdle_gap,business_quality,model_confidence,data_confidence,evidence_confidence,catastrophic_tail_floor_applied,catastrophic_tail_scenarios
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,normalization_rejected,step4_normalized_model,no_normalized_earnings,,,,,,,,,,,,,
SNDK,Sandisk Corporation,Technology,Computer Hardware,hard_filter_rejected,step2_hard_filters,insufficient_financial_history,,,,,,,,,,,,,
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,99,False,-0.24052649459510572,0.01936056718514014,0.03494793036661581,-0.12052649459510573,0.24052649459510572,0.8906,0.7775,1.0,0.7775,False,
TMUS,"T-Mobile US, Inc.",Communication Services,Telecommunications Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,301,False,-1.0699999999999998,-0.17324286725852284,0.00658853403001561,-0.95,1.0699999999999998,0.4884,0.40410900000000005,1.0,0.40410900000000005,True,bear
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,48,False,-0.16211302020121363,0.07895374633371832,0.09452905342332088,-0.04211302020121362,0.16211302020121363,0.9217,0.8975,1.0,0.8975,False,
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,normalization_rejected,step4_normalized_model,no_normalized_earnings,,,,,,,,,,,,,
ADI,"Analog Devices, Inc.",Technology,Semiconductors,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,264,False,-0.4783263634471223,-0.22144246514399127,-0.2143472762487363,-0.3583263634471223,0.4783263634471223,0.4345,0.42552,1.0,0.42552,False,
WDC,Western Digital Corporation,Technology,Computer Hardware,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,293,False,-0.7739687619784671,-0.48466802331422504,-0.4718705912899167,-0.6539687619784671,0.7739687619784671,0.475,0.37602,1.0,0.37602,False,
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,123,False,-0.2713790162163786,-0.017744820352527283,-0.0075997039210051005,-0.15137901621637861,0.2713790162163786,0.8972,0.5387,1.0,0.5387,False,
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,normalization_rejected,step4_normalized_model,no_normalized_earnings,,,,,,,,,,,,,
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,124,False,-0.27173750850954087,0.0018750088303932308,0.018465696566272557,-0.15173750850954087,0.27173750850954087,0.8797,0.7623,1.0,0.7623,False,
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Investment - Banking & Investment Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,258,False,-0.4661207412941506,-0.27888520760679836,-0.26783746011560394,-0.3461207412941506,0.4661207412941506,0.5681333491486807,0.6,0.8,0.48,False,
SHOP,Shopify Inc.,Technology,Software - Application,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,watchlist,step6_scenario_valuation,roic_not_meaningful:meaningless_capital,,,,,,,,,0.4338,1.0,,,
APP,AppLovin Corporation,Technology,Software - Application,watchlist,step6_scenario_valuation,insufficient_post_valuation_model_confidence,,,,-0.23746847837828677,-0.22481721110234498,-0.47790074315271336,0.5979007431527134,0.5555,0.31004370000000003,1.0,0.31004370000000003,False,
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,95,False,-0.2357967462037049,0.021288957471733795,0.0317858794180211,-0.1157967462037049,0.2357967462037049,0.8782,0.6194,1.0,0.6194,False,
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical - Devices,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,153,False,-0.29715875373396555,-0.1044440845467761,-0.09730363075068449,-0.17715875373396556,0.29715875373396555,0.91,0.7635,1.0,0.7635,False,
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,242,False,-0.43537726149545053,-0.22166188639384926,-0.22039735093712803,-0.31537726149545053,0.43537726149545053,0.8635,0.569349,0.85,0.48394665,False,
PDD,PDD Holdings Inc.,Consumer Cyclical,Department Stores,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,watchlist,step6_scenario_valuation,roic_not_meaningful:meaningless_capital,,,,,,,,,0.6355,1.0,,,
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,134,False,-0.27868236412054803,-0.09699031145646961,-0.0764262939017768,-0.15868236412054804,0.27868236412054803,0.6272521564557564,0.6,0.8,0.48,False,
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,91,False,-0.23097389944770835,-0.025990508242102774,-0.016452002199366662,-0.11097389944770834,0.23097389944770835,0.9696,0.81504,1.0,0.81504,False,
MAR,"Marriott International, Inc.",Consumer Cyclical,Travel Lodging,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,287,False,-0.6488282271743809,-0.21564842228053746,-0.1607788882029126,-0.5288282271743809,0.6488282271743809,0.891,0.38288700000000003,1.0,0.38288700000000003,False,
CSX,CSX Corporation,Industrials,Railroads,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,224,False,-0.39802752197021624,-0.20674702348187568,-0.20963924920069985,-0.27802752197021624,0.39802752197021624,0.7629,0.6104160000000001,1.0,0.6104160000000001,False,
CEG,Constellation Energy Corporation,Utilities,Renewable Utilities,hard_filter_rejected,step2_hard_filters,earnings_cash_mismatch,,,,,,,,,,,,,
CME,CME Group Inc.,Financial Services,Financial - Data & Stock Exchanges,watchlist,step2_model_routing,financial_sector_model_not_supported,,,,,,,,,,,,,
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,111,False,-0.2577545991621445,-0.04938896779494822,-0.04100528710987415,-0.13775459916214453,0.2577545991621445,0.9638,0.851,1.0,0.851,False,
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Specialty Retail,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
