scenario,probability,intrinsic_value_per_share,irr_5y,irr_3y,exit_value_per_share,total_return_5y,normalized_roe,terminal_growth,irr_5y_status,scenario_is_finite,ticker,model_family,price,affo_growth
bull,0.25,67.82441891144781,0.061185015867388115,,67.82441891144781,0.3457225974493614,0.11551695170379128,0.025,valid,True,TFC,bank,50.4,
bear,0.25,24.689474561397915,-0.23963389382845157,,24.689474561397915,-0.7458361688141042,0.061161377753433804,0.025,valid,True,MET,insurance,97.14,
base,0.5,64.17056060651235,-0.07957682124138199,,64.17056060651235,-0.33940127026443945,0.11898725262342419,0.025,valid,True,MET,insurance,97.14,
bull,0.25,91.46571958266561,-0.011965632421628292,,91.46571958266561,-0.058413428220448704,0.15896503959990094,0.025,valid,True,MET,insurance,97.14,
bear,0.25,49.09609522221071,-0.2721340430418654,,49.09609522221071,-0.7957053294681645,0.05234949313530288,0.025,valid,True,AJG,insurance,240.32,
base,0.5,116.63777691400884,-0.13461400273709945,,116.63777691400884,-0.5146563876747302,0.08997429305912596,0.025,valid,True,AJG,insurance,240.32,
bull,0.25,159.95202719933621,-0.07819307445840373,,159.95202719933621,-0.3344206591239338,0.11410294902408015,0.025,valid,True,AJG,insurance,240.32,
bear,0.25,102.79110476166623,-0.022672063242365148,,102.79110476166623,-0.10833531608547686,0.12439611917762271,0.025,valid,True,AFL,insurance,115.28,
base,0.5,189.82974141707382,0.10489766982221682,,189.82974141707382,0.6466840858524794,0.20856004291516592,0.025,valid,True,AFL,insurance,115.28,
bull,0.25,244.51583141709318,0.16227956740168392,,244.51583141709318,1.121060300287068,0.2614399602154342,0.025,valid,True,AFL,insurance,115.28,
bear,0.25,59.8209403003381,0.0010764708503734344,,59.8209403003381,0.005393954627531006,,0.025,valid,True,O,reit,59.5,0.039999999999999994
base,0.5,109.36129775907354,0.12945605472463062,,109.36129775907354,0.8380050043541771,,0.025,valid,True,O,reit,59.5,0.06
bull,0.25,109.36129775907354,0.12945605472463062,,109.36129775907354,0.8380050043541771,,0.025,valid,True,O,reit,59.5,0.06
bear,0.25,126.92211211269593,-0.15607759187540116,,126.92211211269593,-0.5719321682539766,,0.025,valid,True,PSA,reit,296.5,-0.02
base,0.5,126.92211211269593,-0.15607759187540116,,126.92211211269593,-0.5719321682539766,,0.025,valid,True,PSA,reit,296.5,-0.02
bull,0.25,156.39608722781708,-0.12008598074278387,,156.39608722781708,-0.47252584408830667,,0.025,valid,True,PSA,reit,296.5,0.0
bear,0.25,26.023813905882207,-0.1381236352821238,,26.023813905882207,-0.5244186055211585,0.0813122536616662,0.025,valid,True,FITB,bank,54.72,
base,0.5,45.06844189303939,-0.038065965243123334,,45.06844189303939,-0.17638081335819822,0.12252242854162321,0.025,valid,True,FITB,bank,54.72,
bull,0.25,55.61980063860038,0.0032673243334429003,,55.61980063860038,0.01644372512062109,0.14535423914033674,0.025,valid,True,FITB,bank,54.72,
bear,0.25,46.932788717187606,-0.1220770104555805,,46.932788717187606,-0.4784666216558773,,0.025,valid,True,VTR,reit,89.99,0.039999999999999994
base,0.5,84.91700307998003,-0.011537765133404543,,84.91700307998003,-0.05637289609978846,,0.025,valid,True,VTR,reit,89.99,0.06
bull,0.25,84.91700307998003,-0.011537765133404543,,84.91700307998003,-0.05637289609978846,,0.025,valid,True,VTR,reit,89.99,0.06
bear,0.25,0.2742564010044364,-0.7032799038550268,,0.2742564010044364,-0.9976999630912073,0.025193930736620372,0.025,valid,True,PRU,insurance,119.24,
